constituency,name,party,region
MION Constituency,ABDUL-AZIZ  AYABA MUSAH,NPP,Northern Region
WA CENTRAL Constituency,ABDUL-RASHID HASSAN PELPUO,NDC,Upper West Region
CHEREPONI Constituency,ABDUL-RAZAK  TAHIDU,NPP,North East Region
NEW EDUBIASE Constituency,ABDUL-SALAM  ADAMS,NDC,Ashanti Region
BINDURI Constituency,ABDULAI   ABANGA ,NPP,Upper East Region
BUNKPURUGU Constituency,ABED-NEGO  BANDIM,NDC,North East Region
EKUMFI Constituency,ABEIKU  CRENTSIL,NDC,Central Region
ATIWA EAST Constituency,ABENA  OSEI-ASARE,NPP,Eastern Region
KETU SOUTH Constituency,ABLA DZIFA  GOMASHIE,NDC,Volta Region
WULENSI Constituency,ABUKARI  DAWUNI,NDC,Northern Region
ABLEKUMA WEST Constituency,URSULA GIFTY OWUSU-EKUFUL,NPP,Greater Accra Region
DORMAA WEST Constituency,VINCENT OPPONG ASAMOAH,NDC,Bono Region
OLD TAFO Constituency,VINCENT EKOW ASSAFUAH,NPP,Ashanti Region
AFIGYA KWABRE SOUTH Constituency,WILLIAM OWURAKU AIDOO,NPP,Ashanti Region
JAMAN SOUTH Constituency,WILLIAMS  OKOFO-DATEH,NDC,Bono Region
SOUTH TONGU Constituency,WISDOM KOBENA WOYOME,NDC,Volta Region
KRACHI EAST Constituency,WISDOM  GIDISU,NDC,Oti Region
AKAN Constituency,YAO  GOMADO,NDC,Oti Region
MANSO ADUBIA Constituency,YAW FRIMPONG ADDO,NPP,Ashanti Region
BOSOMTWE Constituency,YAW OSEI ADUTWUM,NPP,Ashanti Region
BUILSA SOUTH Constituency,CLEMENT ABAS APAAK,NDC,Upper East Region
ZEBILLA Constituency,CLETUS APUL AVOKA,NDC,Upper East Region
JIRAPA Constituency,CLETUS SEIDU DAPILAH ,NDC,Upper West Region
OFFINSO NORTH Constituency,COLLINS AUGUSTINE NTIM,NPP,Ashanti Region
ASUTIFI SOUTH Constituency,COLLINS  DAUDA,NDC,Ahafo Region
AFIGYA KWABRE NORTH Constituency,COLLINS  ADOMAKO-MENSAH,NPP,Ashanti Region
ADA Constituency,COMFORT DOYOE CUDJOE,NDC,Greater Accra Region
AGONA WEST Constituency,CYNTHIA MAMLE MORRISON,NPP,Central Region
OKAIKWEI SOUTH Constituency,DAKOA  NEWMAN,NPP,Greater Accra Region
ABLEKUMA CENTRAL Constituency,DAN  ABDUL-LATIF,NDC,Greater Accra Region
ASIKUMA/ODOBEN/ BRAKWA Constituency,ALHASSAN KOBINA GHANSAH,NDC,Central Region
SALAGA NORTH Constituency,ALHASSAN ABDALLAH IDDI,NPP,Savanna Region
JUABEN Constituency,AMA POMAA BOATENG,NPP,Ashanti Region
SISSALA EAST Constituency,AMIDU  CHINNIA  ISSAHAKU ,NPP,Upper West Region
SEKONDI Constituency,ANDREW KOFI EGYAPA MERCER,NPP,Western Region
SAWLA/TUNA/KALBA Constituency,ANDREW DARI CHIWITEY,NDC,Savanna Region
FOMENA Constituency,ANDREW ASIAMAH AMOAKO,INDEPEN,Ashanti Region
ASANTE AKIM NORTH Constituency,ANDY KWAME APPIAH-KUBI,NPP,Ashanti Region
AFADJATO SOUTH Constituency,ANGELA OFORlWA ALORWU-TAY,NDC,Volta Region
NADOWLI/KALEO Constituency,ANTHONY MWINKAARA SUMAH,NDC,Upper West Region
TAIN Constituency,ADAMA  SULEMANA,NDC,Bono Region
