name,party,constituency,region
BETTY NANA EFUA KROSBI MENSAH,NDC,AFRAM PLAINS NORTH Constituency,Eastern Region
BlSMARK TETTEH NYARKO,NDC,UPPER MANYA KROBO Constituency,Eastern Region
BRIGHT  WIREKO-BROBBY,NPP,HEMAN LOWER DENKYIRA Constituency,Central Region
BRIGHT  BAKYE YELVIEL  BALIGI,NPP,LAMBUSSIE Constituency,Upper West Region
BRYAN  ACHEAMPONG,NPP,ABETIFI Constituency,Eastern Region
CARLOS KINGSLEY AHENKORAH,NPP,TEMA WEST Constituency,Greater Accra Region
CASSIEL ATO BAAH FORSON,NDC,AJUMAKO ENYAN ESIAM Constituency,Central Region
CHARLES AKWASI AGBEVE,NDC,AGOTIME-ZIOPE Constituency,Volta Region
CHARLES  ACHEAMPONG,NPP,LOWER WEST AKIM Constituency,Eastern Region
CHRISTIAN CORLEYTEY OTUTEYE,NDC,SEGE Constituency,Greater Accra Region
ABDUL-AZIZ  AYABA MUSAH,NPP,MION Constituency,Northern Region
ABDUL-RASHID HASSAN PELPUO,NDC,WA CENTRAL Constituency,Upper West Region
ABDUL-RAZAK  TAHIDU,NPP,CHEREPONI Constituency,North East Region
ABDUL-SALAM  ADAMS,NDC,NEW EDUBIASE Constituency,Ashanti Region
ABDULAI   ABANGA ,NPP,BINDURI Constituency,Upper East Region
ABED-NEGO  BANDIM,NDC,BUNKPURUGU Constituency,North East Region
ABEIKU  CRENTSIL,NDC,EKUMFI Constituency,Central Region
ABENA  OSEI-ASARE,NPP,ATIWA EAST Constituency,Eastern Region
ABLA DZIFA  GOMASHIE,NDC,KETU SOUTH Constituency,Volta Region
ABUKARI  DAWUNI,NDC,WULENSI Constituency,Northern Region
ALEX  ADOMAKO-MENSAH,NDC,SEKYERE AFRAM PLAINS Constituency,Ashanti Region
ALEXANDER  AFENYO-MARKIN,NPP,EFFUTU Constituency,Central Region
ALEXANDER  AGYARE,NPP,KADE Constituency,Eastern Region
ALEXANDER  GYAN,NPP,KINTAMPO SOUTH Constituency,Bono East Region
ALEXANDER AKWASI ACQUAH,NPP,AKIM ODA Constituency,Eastern Region
ALFRED OKOE VANDERPUIJE,NDC,ABLEKUMA SOUTH Constituency,Greater Accra Region
ALFRED  OBENG-BOATENG,NPP,BIBIANI-ANHWIASO-BAKWAI Constituency,Western North Region
ALHASSAN KOBINA GHANSAH,NDC,ASIKUMA/ODOBEN/ BRAKWA Constituency,Central Region
ALHASSAN ABDALLAH IDDI,NPP,SALAGA NORTH Constituency,Savanna Region
ALHASSAN SAYIBU SUHIYINI,NDC,TAMALE NORTH Constituency,Northern Region
CLEMENT ABAS APAAK,NDC,BUILSA SOUTH Constituency,Upper East Region
CLETUS SEIDU DAPILAH ,NDC,JIRAPA Constituency,Upper West Region
CLETUS APUL AVOKA,NDC,ZEBILLA Constituency,Upper East Region
COLLINS AUGUSTINE NTIM,NPP,OFFINSO NORTH Constituency,Ashanti Region
COLLINS  ADOMAKO-MENSAH,NPP,AFIGYA KWABRE NORTH Constituency,Ashanti Region
DANIEL NSALA WAKPAL,NDC,KPANDAI Constituency,Northern Region
DANIEL OHENE DARKO,NDC,UPPER DENKYIRA WEST Constituency,Central Region
Daniel  Botwe,NPP,OKERE Constituency,Eastern Region
COLLINS  DAUDA,NDC,ASUTIFI SOUTH Constituency,Ahafo Region
